MArca de Tiempo, Uso de Memoria(%)
10:23:45,46.7
10:23:46,46.9
10:23:47,46.9
10:23:49,46.8
10:23:50,46.8
10:23:51,46.8
10:23:52,46.8
10:23:53,46.8
10:23:54,46.8
10:23:55,46.8
10:23:56,46.7
10:23:57,46.8
10:23:58,46.8
10:23:59,46.9
10:24:00,46.8
10:24:01,46.8
10:24:02,46.8
10:24:03,46.8
10:24:04,46.9
10:24:05,46.9
10:24:06,46.9
10:24:07,46.9
10:24:08,46.9
10:24:09,46.9
10:24:10,46.8
10:24:11,47.0
10:24:12,47.0
10:24:13,47.0
10:24:14,46.9
10:24:15,46.9
10:24:16,46.9
10:24:17,46.9
10:24:18,46.9
10:24:19,46.9
10:24:20,46.9
10:24:21,46.9
10:24:22,46.9
10:24:23,46.9
10:24:24,46.9
10:24:25,46.9
10:24:26,46.9
10:24:27,46.9
10:24:28,46.9
10:24:29,46.9
10:24:30,46.8
10:24:31,46.8
10:24:32,46.8
10:24:33,46.8
10:24:34,46.8
10:24:35,46.8
10:24:36,46.7
10:24:37,46.7
10:24:38,46.7
10:24:39,46.7
10:24:40,46.7
10:24:41,46.7
10:24:42,46.7
10:24:43,46.7
10:24:44,46.7
10:24:45,46.8
10:24:46,46.8
10:24:47,46.9
10:24:48,46.9
10:24:49,47.0
10:24:50,47.0
10:24:51,47.0
10:24:52,46.9
10:24:53,46.9
10:24:54,46.9
10:24:55,46.9
10:24:56,46.9
10:24:57,46.9
10:24:58,46.9
10:24:59,46.9
10:25:00,46.9
10:25:01,46.9
10:25:02,46.9
10:25:03,46.9
10:25:04,46.9
10:25:05,46.9
10:25:06,46.9
10:25:07,46.9
10:25:08,46.9
10:25:09,46.9
10:25:10,46.9
10:25:11,46.9
10:25:12,47.1
10:25:13,47.2
10:25:14,47.2
10:25:15,47.2
10:25:16,47.2
10:25:17,47.1
10:25:18,47.1
10:25:19,47.1
10:25:20,47.1
10:25:21,47.0
10:25:22,47.0
10:25:23,47.0
10:25:24,47.0
10:25:25,47.0
10:25:26,47.0
10:25:27,47.0
10:25:28,47.0
10:25:29,47.0
10:25:30,47.0
10:25:31,47.0
10:25:32,47.0
10:25:33,47.0
10:25:34,47.0
10:25:35,47.0
10:25:36,47.0
10:25:37,47.0
10:25:38,47.0
10:25:39,47.1
10:25:40,47.1
10:25:42,47.1
10:25:43,47.0
10:25:44,47.0
10:25:45,47.0
10:25:46,47.0
10:25:47,47.0
10:25:48,47.0
10:25:49,47.0
10:25:50,47.0
10:25:51,47.0
10:25:52,47.0
10:25:53,47.0
10:25:54,47.0
10:25:55,46.6
10:25:56,46.6
10:25:57,46.7
10:25:58,46.8
10:25:59,46.8
10:26:00,46.7
10:26:01,46.8
10:26:02,46.8
10:26:03,46.8
10:26:04,46.8
10:26:05,46.8
10:26:06,46.8
10:26:07,46.8
10:26:08,46.8
10:26:09,46.8
10:26:10,46.8
10:26:11,46.8
10:26:12,46.8
10:26:13,46.8
10:26:14,46.8
10:26:15,46.8
10:26:16,46.8
10:26:17,46.8
10:26:18,46.8
10:26:19,46.8
10:26:20,46.8
10:26:21,46.9
10:26:22,46.9
10:26:23,46.9
10:26:24,47.0
10:26:25,47.1
10:26:26,47.1
10:26:27,47.1
10:26:28,47.0
10:26:29,47.0
10:26:30,47.0
10:26:31,47.0
10:26:32,47.0
10:26:33,46.9
10:26:34,47.0
10:26:35,47.3
10:26:36,47.3
10:26:37,47.3
10:26:38,47.3
10:26:39,47.3
10:26:40,47.3
10:26:41,47.3
10:26:42,47.2
10:26:43,47.2
10:26:44,47.3
10:26:45,47.2
10:26:46,47.1
10:26:47,47.1
10:26:48,47.3
10:26:49,47.2
10:26:50,47.2
10:26:51,47.2
10:26:52,47.2
10:26:53,47.2
10:26:54,47.0
10:26:55,47.0
10:26:56,47.1
10:26:57,47.1
10:26:58,47.1
10:26:59,47.1
10:27:00,47.1
10:27:01,47.4
10:27:02,47.5
10:27:03,47.3
10:27:04,47.6
10:27:05,47.5
10:27:06,47.5
10:27:07,47.5
10:27:08,47.5
10:27:09,47.5
10:27:10,47.5
10:27:11,47.5
10:27:12,47.5
10:27:13,47.5
10:27:14,47.6
10:27:15,47.5
10:27:16,47.5
10:27:17,47.8
10:27:19,47.6
10:27:20,47.5
10:27:21,47.4
10:27:22,47.4
10:27:23,47.4
10:27:24,47.3
10:27:25,47.3
10:27:26,47.5
10:27:27,47.5
10:27:28,47.5
10:27:29,47.5
10:27:30,47.5
10:27:31,47.2
10:27:32,47.2
10:27:33,47.2
10:27:34,47.4
10:27:35,47.3
10:27:36,47.3
10:27:37,47.4
10:27:38,47.4
10:27:39,47.4
10:27:40,47.4
10:27:41,47.4
10:27:42,47.4
10:27:43,47.4
10:27:44,47.4
10:27:45,47.4
10:27:46,47.4
10:27:47,47.4
10:27:48,47.4
10:27:49,47.4
10:27:50,47.4
10:27:51,47.3
10:27:52,47.4
10:27:53,47.4
10:27:54,47.4
10:27:55,47.4
10:27:56,47.2
10:27:57,47.2
10:27:58,47.2
10:27:59,47.2
10:28:00,47.3
10:28:01,47.3
10:28:02,47.3
10:28:03,47.3
10:28:04,47.3
10:28:05,47.3
10:28:06,47.3
10:28:07,47.3
10:28:08,47.1
